order_id,location_latitude,location_longitude,order_weight,from,to
0,6.1178564993217, 81.06391786122536,0,8:00AM,11:00PM
1,6.012665758329702, 80.77960291480886,1,12:01PM,4:00PM
2,6.328786699758628, 80.84150533641811,1,8:00AM,12:00PM
3,6.424123410219763, 81.33321487724699,2,8:00AM,12:00PM
4,6.05640210923801, 80.1814397260469,4,12:01PM,4:00PM
5,6.087127818469289, 80.21474203330762,2,4:01PM,11:00PM
6,6.054273257570624, 80.27947097361941,4,4:01PM,11:00PM
7,6.114108891851487, 80.3203976430929,8,12:01PM,4:00PM
8,6.101583539845904, 80.66614806339047,8,4:01PM,11:00PM
9,6.063539747348995, 80.56785194379161,1,4:01PM,11:00PM
10,5.9932069111287305, 80.59587750429392,2,12:01PM,4:00PM
11,6.1654701975387045, 81.107460140564,1,4:01PM,11:00PM
12,6.290822154852044, 81.23032915583164,2,8:00AM,12:00PM
13,6.365027793040589, 81.32172081829638,4,12:01PM,4:00PM
14,6.247983809616575, 80.04635149084191,4,8:00AM,12:00PM
15,6.2085168993913165, 80.10453658953516,8,8:00AM,12:00PM
16,6.174966310872088, 80.14640586747758,12,12:01PM,4:00PM
17,6.184182161793348, 80.28304832457731, 14,8:00AM,12:00PM
18,6.11578478477525, 80.35078525329136,8,12:01PM,4:00PM
19,5.993902335655824, 80.34391879873577,10,8:00AM,12:00PM
20,6.117235600339145, 81.09080135853318,5,4:01PM,11:00PM
